GE-30103-01		Advanced German Conversation	McChesney, Anita	German	2010-01-05	2010-05-08	Spring ENG$$1NA
IIPS-60219-01		Modern Genocide	Verdeja, Ernesto	International Institute for Peace Studies	2013-08-05	2013-12-20	Fall$$1NA
ARHI-43210-01		Road to Santiago de Compostela	Joyner, Danielle	Art History	2013-08-05	2013-12-20	Fall$$1NA
HIST-30483-01		Eastern Europe from 1945-present	Kunicki, Mikolaj	History	2012-08-23	2012-12-14	Fall$$1NA
ENGL-40233-01		J.R.R. Tolkien	Machan, Tim	English	2013-08-05	2013-12-20	Fall$$1NA
POLS-30451-01		Politics of Southern Africa	Walshe, Peter	Political Science	2014-12-20	2015-05-08	$$1Spring$$2NA
POLS-30487-01		Rise and Fall of World Communism	McAdams, A. James	Political Science	2010-01-04	2010-05-07	Spring ENG$$1NA
THEO-60648-01		Christian Ethics, II	Arner, Neil	Theology	2014-12-20	2015-05-08	$$1Spring
LLEA-33315-01		Men and Women in Modern Japanese Literature	Shamoon, Deborah	East Asian Languages and Literatures	2011-01-03	2011-05-13	Spring$$1NA
MATH-80521-01		topics in Mathematical Logic II	Cholak, Peter	Mathematics	2013-12-23	2014-05-09	Spring$$1NA
BAET-30540-01		Ethics in Sports	Levey, Brian	Business	2014-12-20	2015-05-08	$$1Spring
BAMG-20150-08		Statistical Inference in Business	Halvorsen-Ganepola, M	Management	2014-12-20	2015-05-08	$$1Spring
ENGL-43709-01		Black Mountain Poetry	Fredman, Stephen	English	2013-12-23	2014-05-09	Spring$$1NA
ANTH-13181-02		Social Science University Seminar	Mack, Joanne	Anthropology	2011-01-03	2011-05-13	Spring$$1NA
ENGL-40259-01		Devotional Lyric: Wyatt to Watts	Monta, Susannah	English	2013-12-20	2014-05-09	Spring$$1NA
THEO-60819-01		Christianity & World Religions	Malkovsky, Bradley	Theology	2009-05-18	2009-08-07	Summer ENG$$1NA
THEO-60264-01		John Chrysostom & Social Issues	Leyerle, Blake	Theology	2010-01-04	2010-05-07	Spring ENG$$1NA
HIST-30320-01		The Viking Age	Handy, Amber	History	2011-01-03	2011-05-13	Spring$$1NA
HIST-30552-01		Media & Science: Codex to Code	Oosterhoff, Richard	History	2013-12-20	2014-05-09	Spring$$1NA
EDU-70100-01		Linguistics & Language Acquisition	Hagens, Jan L.	Education	2009-06-23	2009-08-07	Summer ENG$$1NA
HIST-30961-01		Caribbean History after Slavery	Challenger, Denise	History	2010-01-04	2010-05-07	Spring ENG$$1NA
GSC 40508-01		Jane's Heirs	Palko, Abigail	Gender Studies	2010-01-10	2010-05-07	Spring ENG$$1NA
MUS-10141-01		Understanding World Music	Jarjour, Tala	Music	2014-07-28	2014-12-19	Fall$$1NA
FTT-40502-01		Media and Identity	Kearney, Mary	Film, Television and Theatre	2013-12-23	2014-05-09	Spring$$1NA
IIPS-60800-01		Anthropological Methods for Peace Practitioners	Bolten, Catherine	Institute of International Peace Studies	2010-01-04	2010-05-07	Spring ENG$$1NA
CLAS-30211-01		Roman Criminal Law	Mazurek, Tadeusz	Classics	2013-12-20	2014-05-09	Spring$$1NA
ACCT-20100-01		Accountancy 1	Larocque, S.	Accountancy	2013-12-23	2014-05-09	Spring$$1NA
BIOS-20241-01		Molecular Cellular Biology	Vaughan, Kevin	Biological Sciences	2014-12-20	2015-05-08	$$1Spring
THEO-60853-01		Political Liberation Theology	Ashley, Matthew	Theology	2013-05-13	2013-08-02	Summer$$1NA
POLS-40810-01		Quantitative Political Analysis	Coppedge, Michael	Political Science	2013-08-05	2013-12-20	Fall$$1NA
GE-40610-01		Crises of Modernity in German Culture	Boes, Tobias	German	2011-08-08	2011-12-16	Fall$$1NA
POLS-30203-01		On War	Rosato, Sebastian	Political Science	2013-12-20	2014-05-09	Spring$$1NA
PHYS-00000-99		Physics Texts for TAs	Miller, T	Physics	2014-01-22	2016-01-22	$$1Spring
FIN-40610-01		Security Analysis	Loughran, T	Finance	2014-12-20	2015-05-08	$$1Spring
HIST-30106-01		Modern South Asia	Sengupta, Jayanta	History	2011-12-19	2012-05-11	Spring$$1NA
HIST-10600-01		US History I: to 1877	Turner, James	History	2012-08-06	2012-12-14	Fall$$1NA
HIST-30707-01		American Intellectual History to 1870	Turner, James	History	2013-12-23	2014-05-09	Spring$$1NA
ARCH-20221-01		Architectural History	Doordan, Dennis	Architecture	2014-12-20	2015-05-08	$$1Spring
BACM-30490-01		Persuasion	Collins, S.	Management	2013-12-23	2014-05-09	$$1Spring$$2NA
MSB-60330-01		Corporate Finance	Clements, W.	Finance	2013-12-23	2014-05-09	Spring$$1NA
HIST-43408-01		Telling Stories: The Holocaust as Historical Narrative	Faulkner, Lauren	History	2011-01-03	2011-05-13	Spring$$1NA
ROFR-63120-01		Medieval & Ren Lyric Poetry	Boulton, Maureen	Romance Languages	2013-08-05	2013-12-20	Fall$$1NA
SOC-23470-01		Making Latinos: The Complexities of Latino Identity in the United States	Jones, Jennifer	Sociology	2013-08-05	2013-12-20	Fall$$1NA
BACM-30620-1		Corporate Sustainability Reporting	Collins, S.	Management	2013-12-23	2014-05-09	$$1Spring$$2NA
ECON-60102-01		Microeconomic Theory II	Rath, Kali	Economics	2008-01-07	2008-05-09	$$1Spring$$2NA$$3ENG
PSY-30160-02		Experimental Psychology II: Methods	Corning, Alexandra	Psychology	2013-08-05	2013-12-20	Fall$$1NA
THEO-83408-01		Topics in Liturgical Study: The Anaphora	Johnson, Maxwell	Theology	2013-08-05	2013-12-20	Fall$$1NA
AFST-30606-01		Black Chicago Politics	Pinderhughes, Dianne	African Studies	2013-12-23	2014-05-09	Spring$$1NA
IRST-30362-01		Intro to the Irish Song Tradit	Goan, Cathal	Irish Studies	2012-08-06	2012-12-14	Fall$$1NA
IIPS-80201-01		Contending Modernities	Appleby, Robert	Institute for International Peace Studies	2013-08-05	2013-12-20	Fall$$1NA
ENGL-40265-01		The Literatures of Sixteenth- and Seventeenth-Century Ireland	McKibben, Sarah	English	2013-12-20	2014-05-09	Spring$$1NA
POLS-53002-06		Politics & the Internet	Abbey, Ruth	Political Science	2011-01-03	2011-05-13	Spring$$1NA
MGT-20200-04		Principles of Management	Halvorsen-Ganepola, M.	Management	2013-12-23	2014-05-09	$$1Spring$$2NA
FTT-20280-01		Monstrous Modernities	Larsen, Alexander	Literature	2013-08-05	2013-12-20	Fall$$1NA
ARHI-30213-01		Byzantine Art	Barber, Charles	Art History	2011-01-03	2011-05-13	Spring$$1NA
